Task,Known/Novel,TargetWord,File Order,audio (.wav) file,TargetImage,image files,
Repetition,Known ,Candle,1,Repetition_CANDLE_Final.wav,Candle,Candle.png,
Repetition,Known ,Tiger,2,Repetition_TIGER_Final.wav,Tiger,Tiger.png,
Repetition,Known ,Yo-yo,3,Repetition_YOYO_Final.wav,Yo-yo,Yo-yo.png,
Repetition,Novel,Binip,4,Repetition_BINIP_Final.wav,Binip,Binip.png,
Repetition,Novel,Sibl,5,Repetition_SIBL_Final.wav,Sibl,Sibl.png,
Repetition,Novel,Tugum,6,Repetition_TUGUM_Final.wav,Tugum,Tugum.png,
Repetition,Novel,Pefub ,7,Repetition_PEFUB_Final.wav,Pefub ,Pefub.png,
2 dot test,Known,Peacock or Tiger,8,TwoDot_PEACOCK_TIGER_Final.wav,Tiger,Tiger.png,
2 dot test,Known,Tiger,9,Feedback_TIGER_Final.wav,Tiger,Tiger.png,
2 dot test,Known,Yo-yo or Beaver,10,TwoDot_YOYO_BEAVER_Final.wav,Yo-yo,Yo-yo.png,
2 dot test,Known,Yo-yo  ,11,Feedback_YOYO_Final.wav,Yo-yo  ,Yo-yo.png,
2 dot test,Novel,Tugum or Binip,12,TwoDot_TUGUM_BINIP_Final.wav,Binip,Binip.png,
2 dot test,Novel,Binip,13,Feedback_BINIP_Final.wav,Binip,Binip.png,
2 dot test,Novel,Sibl or Pefub,14,TwoDot_SIBL_PEFUB_Final.wav,Sibl,Sibl.png,
2 dot test,Novel,Sibl,15,Feedback_SIBL_Final.wav,Sibl,Sibl.png,
2 dot test,Novel,Tugum or Binip,16,TwoDot_TUGUM_BINIP_Final.wav,Tugum,Tugum.png,
2 dot test,Novel,Tugum,17,Feedback_TUGUM_Final.wav,Tugum,Tugum.png,
2 dot test,Novel,Sibl or Pefub,18,TwoDot_SIBL_PEFUB_Final.wav,Pefub ,Pefub.png,
2 dot test,Novel,Pefub ,19,Feedback_PEFUB_Final.wav,Pefub ,Pefub.png,
Repetition,Novel,Binip,20,Repetition_BINIP_Final.wav,Binip,Binip.png,
Repetition,Novel,Sibl,21,Repetition_SIBL_Final.wav,Sibl,Sibl.png,
Repetition,Novel,Tugum,22,Repetition_TUGUM_Final.wav,Tugum,Tugum.png,
Repetition,Novel,Pefub,23,Repetition_PEFUB_Final.wav,Pefub,Pefub.png,
2 dot test,Novel,Sibl or Binip,24,TwoDot_SIBL_BINIP_Final.wav,Binip,Binip.png,
2 dot test,Novel,Binip,25,Feedback_BINIP_Final.wav,Binip,Binip.png,
2 dot test,Novel,Tugum or Sibl,26,TwoDot_TUGUM_SIBL_Final.wav,Sibl,Sibl.png,
2 dot test,Novel,Sibl,27,Feedback_SIBL_Final.wav,Sibl,Sibl.png,
2 dot test,Novel,Tugum or Pefub,28,TwoDot_TUGUM_PEFUB_Final.wav,Tugum,Tugum.png,
2 dot test,Novel,Tugum,29,Feedback_TUGUM_Final.wav,Tugum,Tugum.png,
2 dot test,Novel,Pefub or Binip,30,TwoDot_PEFUB_BINIP_Final.wav,Pefub ,Pefub.png,
2 dot test,Novel,Pefub,31,Feedback_PEFUB_Final.wav,Pefub ,Pefub.png,
Free recall test,Known,Tiger,32,FreeRecall_WHAT_Final.wav,Tiger,Tiger.png,
Free recall test,Known,Yo-yo,33,FreeRecall_WHAT_Final.wav,Yo-yo,Yo-yo.png,
Free recall test,Novel,Binip,34,FreeRecall_WHAT_Final.wav,Binip,Binip.png,
Free recall test,Novel,Sibl,35,FreeRecall_WHAT_Final.wav,Sibl,Sibl.png,
Free recall test,Novel,Tugum,36,FreeRecall_WHAT_Final.wav,Tugum,Tugum.png,
Free recall test,Novel,Pefub,37,FreeRecall_WHAT_Final.wav,Pefub,Pefub.png,
Cued recall test,Known,Ti ,38,CuedRecall_TI_Final.wav,Tiger,Tiger.png,
Cued recall test,Known,Yo ,39,CuedRecall_YO_Final.wav,Yo-yo,Yo-yo.png,
Cued recall test,Novel,Bi ,40,CuedRecall_BI_Final.wav,Binip,Binip.png,
Cued recall test,Novel,Si ,41,CuedRecall_SI_Final.wav,Sibl,Sibl.png,
Cued recall test,Novel,Tu ,42,CuedRecall_TU_Final.wav,Tugum,Tugum.png,
Cued recall test,Novel,Pe ,43,CuedRecall_PE_Final.wav,Pefub,Pefub.png,
5-Minute Break,,,,,,,
Free recall test,Novel,Binip,44,FreeRecall_WHAT_Final.wav,Binip,Binip.png,
Free recall test,Novel,Sibl,45,FreeRecall_WHAT_Final.wav,Sibl,Sibl.png,
Free recall test,Novel,Tugum,46,FreeRecall_WHAT_Final.wav,Tugum,Tugum.png,
Free recall test,Novel,Pefub,47,FreeRecall_WHAT_Final.wav,Pefub,Pefub.png,
Cued recall test,Novel,Bi ,48,CuedRecall_BI_Final.wav,Binip,Binip.png,
Cued recall test,Novel,Si ,49,CuedRecall_SI_Final.wav,Sibl,Sibl.png,
Cued recall test,Novel,Tu ,50,CuedRecall_TU_Final.wav,Tugum,Tugum.png,
Cued recall test,Novel,Pe ,51,CuedRecall_PE_Final.wav,Pefub,Pefub.png,
2 dot test,Novel,Binip or Pefub,52,TwoDot_BINIP_PEFUB_Final.wav,Binip,Binip.png,
2 dot test,Novel,Tugum or Sibl,53,TwoDot_TUGUM_SIBL_Final.wav,Sibl,Sibl.png,
2 dot test,Novel,Binip or Tugum,54,TwoDot_BINIP_TUGUM_Final.wav,Tugum,Tugum.png,
2 dot test,Novel,Pefub or Sibl,55,TwoDot_PEFUB_SIBL_Final.wav,Pefub,Pefub.png,